"Study","Year","Date","Site","Treatment","Cage","Tag","Fullness","Digestion","Total Contents Weight","Taxon","Count","Taxa Weight","Comments"
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D4","LDI_D4",3,5,5e-04,"Macrocyclops adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D4","LDI_D4",3,5,5e-04,"Amphipoda",1,4e-04,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D4","LDI_D4",3,5,5e-04,"Ceriodaphnia",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C3","HDI_C3",2,5,0,"Daphnia",6,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C3","HDI_C3",2,5,0,"Gammaridae juvenile",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C3","HDI_C3",2,5,0,"Macrocyclops copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C3","HDI_C3",2,5,0,"Pseudodiaptomus forbesi copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C6","HDI_C6",2,5,0,"Daphnia",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C6","HDI_C6",2,5,0,"Gammaridae juvenile",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C6","HDI_C6",2,5,0,"Ostracoda",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Simocephalus",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Daphnia",4,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Gammaridae juvenile",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Diacyclops thomasi copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Eurytemora carolleeae adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Unidentified eggs",27,0,"doesn’t belong to other taxa but very small"
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D3","LDL_D3",2,5,3e-04,"Osphranticum labronectum adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Gammaridae juvenile",3,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Daphnia",9,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Acanthocyclops adult",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Macrocyclops copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Crustacea",NA,8e-04,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Calanoida",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D6","LDL_D6",4,5,0.0014,"Bosmina",1,0,"just the head and rostrum"
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Osphranticum labronectum adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Gammaridae juvenile",3,3e-04,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Eucyclops adult",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Ceriodaphnia",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Daphnia",9,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Diacyclops thomasi adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Diacyclops thomasi copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Acanthocyclops adult",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C7","HDI_C7",3,5,4e-04,"Acanthocyclops copepodid",3,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Daphnia",7,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Pseudodiaptomus forbesi adult",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Eucyclops adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Sinocalanus doerrii copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Macrocyclops adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Gammaridae juvenile",3,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D2","LDL_D2",3,5,0.0019,"Amphipoda",1,0.0016,"large but too digested to ID"
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C1","HDI_C1",2,5,0,"Daphnia",3,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D7","LDL_D7",3,5,4e-04,"Diacyclops thomasi copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D7","LDL_D7",3,5,4e-04,"Diacyclops thomasi adult",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D7","LDL_D7",3,5,4e-04,"Daphnia",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D7","LDL_D7",3,5,4e-04,"Calanoida",1,0,"digested"
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"D7","LDL_D7",3,5,4e-04,"Crustacea",NA,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C5","HDI_C5",3,5,0,"Acanthocyclops copepodid",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C5","HDI_C5",3,5,0,"Daphnia",8,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C5","HDI_C5",3,5,0,"Gammaridae juvenile",2,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C5","HDI_C5",3,5,0,"Chironomidae larvae",1,0,NA
"Domestication/Behavior",2021,2021-02-11,"Rio Vista",NA,"C5","HDI_C5",3,5,0,"Cyclopoida copepodid",1,0,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","1","S1C1N2",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","1","S1C1N3",2,5,0,"Daphnia",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","1","S1C1N5",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","2","S1C1N7",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","1","S1C1N8",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Daphnia",9,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Simocephalus",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Bosmina",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Eucyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Diacyclops thomasi copepodid",3,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Diacyclops thomasi adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Gammaridae",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N1",4,5,0.0021,"Animal parts",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N10",2,5,0,"Daphnia",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N10",2,5,0,"Unidentified eggs",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N4",2,5,0,"Daphnia",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Daphnia",29,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Unidentified eggs",2,NA,"fish?"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Bosmina",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Simocephalus",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Amphipoda parts",NA,NA,"parts"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Diacyclops thomasi adult",3,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Acanthocyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Acanthocyclops copepodid",3,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N5",4,5,7e-04,"Cyclopoida",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N7",2,5,0,"Diacyclops thomasi copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N7",2,5,0,"Daphnia",5,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N7",2,5,0,"Ceriodaphnia",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","2","S1C2N7",2,5,0,"Eurytemora carolleeae copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N2",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N4",2,5,0,"Daphnia",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N5",2,5,0,"Daphnia",5,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N6",3,5,4e-04,"Daphnia",11,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N6",3,5,4e-04,"Bosmina",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N6",3,5,4e-04,"Acanthocyclops copepodid",3,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N6",3,5,4e-04,"Osphranticum labronectum adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N6",3,5,4e-04,"Amphipoda parts",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N7",3,5,3e-04,"Daphnia",18,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N7",3,5,3e-04,"Eurytemora carolleeae adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N7",3,5,3e-04,"Diacyclops thomasi copepodid",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N7",3,5,3e-04,"Diacyclops thomasi adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N7",3,5,3e-04,"Acanthocyclops copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","3","S1C3N7",3,5,3e-04,"Eucyclops copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N10",2,5,5e-04,"Daphnia",22,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N10",2,5,5e-04,"Unidentified eggs",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N10",2,5,5e-04,"Diacyclops thomasi adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N10",2,5,5e-04,"Diaptomidae adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N3",3,4,0.0014,"Daphnia",19,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N3",3,4,0.0014,"Eucyclops adult",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N3",3,4,0.0014,"Acanthocyclops copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N3",3,4,0.0014,"Unidentified eggs",1,NA,"fish?"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N3",3,4,0.0014,"Ostracoda",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N3",3,4,0.0014,"Animal parts",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N5",2,5,0,"Daphnia",11,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N5",2,5,0,"Bosmina",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N5",2,5,0,"Chydorus",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N5",2,5,0,"Acanthocyclops copepodid",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N5",2,5,0,"Halicyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N7",2,5,6e-04,"Daphnia",9,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N7",2,5,6e-04,"Unidentified eggs",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N7",2,5,6e-04,"Diaptomidae adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N8",2,3,0,"Daphnia",5,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","4","S1C4N8",2,3,0,"Unidentified eggs",2,NA,"fish?"
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","5","S1C5N2",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","5","S1C5N3",2,5,0,"Daphnia",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","5","S1C5N4",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","5","S1C5N6",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","5","S1C5N8",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N10",2,5,0,"Unidentified eggs",1,NA,"fish?"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N2",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N4",2,5,0,"Plant material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N4",2,5,0,"Daphnia",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N4",2,5,0,"Macrocyclops copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N5",3,5,0.001,"Daphnia",13,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N5",3,5,0.001,"Unidentified eggs",5,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N5",3,5,0.001,"Diaptomidae adult",1,NA,"H. franciscanus"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N5",3,5,0.001,"Diacyclops thomasi copepodid",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N5",3,5,0.001,"Animal parts",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Diacyclops thomasi adult",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Sinocalanus doerrii copepodid",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Unidentified eggs",6,NA,"fish?"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Daphnia",10,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Simocephalus",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Gammaridae",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","6","S1C6N6",4,5,0.0021,"Halicyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N1",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N10",2,5,0,"Simocephalus",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N10",2,5,0,"Daphnia",12,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N10",2,5,0,"Diacyclops thomasi",12,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N10",2,5,0,"Diacyclops thomasi",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N10",2,5,0,"Animal parts",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N3",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N4",2,5,0,"Daphnia",3,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","7","S1C7N7",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N1",2,5,6e-04,"Daphnia",14,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N1",2,5,6e-04,"Acanthocyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N1",2,5,6e-04,"Diacyclops thomasi adult",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Ceriodaphnia",4,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Simocephalus",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Bosmina",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Diaptomidae copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Acanthocyclops copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Diacyclops thomasi copepodid",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N3",2,5,0,"Daphnia",13,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N4",2,5,0,"Ceriodaphnia",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N4",2,5,0,"Simocephalus",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N4",2,5,0,"Acanthocyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N4",2,5,0,"Acanthocyclops copepodid",3,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N4",2,5,0,"Diacyclops thomasi copepodid",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N4",2,5,0,"Daphnia",10,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Ceriodaphnia",4,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Cyclopoida",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Acanthocyclops adult",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Acanthocyclops copepodid",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Diacyclops thomasi adult",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Daphnia",7,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N6",2,5,8e-04,"Amphipoda parts",NA,NA,"pretty digested"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N7",3,5,0.0014,"Daphnia",9,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N7",3,5,0.0014,"Bosmina",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","8","S1C8N7",3,5,0.0014,"Gammaridae",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN1",2,2,0.0023,"Unidentified eggs",21,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN1",2,2,0.0023,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN10",2,2,0.0039,"Copepod nauplii",8,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN10",2,2,0.0039,"Hard pellet/ can't ID",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN10",2,2,0.0039,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN10",2,2,0.0039,"Small rock",1,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN4",3,1,0.002,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN8",2,3,0.0014,"Copepod nauplii",6,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN8",2,3,0.0014,"Hard pellet/ can't ID",4,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN8",2,3,0.0014,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Dry","FCCL Control","S1CDN9",2,1,5e-04,"Digestive material",NA,NA,"Completely mush"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN1",6,5,0.0113,"Unidentified eggs",2,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN1",6,5,0.0113,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN1",6,5,0.0113,"Copepod nauplii",2557,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN10",6,5,0.0255,"Unidentified eggs",29,NA,"looks like fish egg"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN10",6,5,0.0255,"Copepod nauplii",1951,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN10",6,5,0.0255,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN4",6,5,0.0197,"Copepod nauplii",1930,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN4",6,5,0.0197,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN6",6,5,0.0177,"Copepod nauplii",1779,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN6",6,5,0.0177,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN8",6,5,0.0278,"Unidentified eggs",1,NA,"looks like a fish egg"
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN8",6,5,0.0278,"Copepod nauplii",2145,NA,NA
"Feeding Study",2022,2022-02-10,"Rio Vista","Live","FCCL Control","S1CLN8",6,5,0.0278,"Digestive material",NA,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Dry","1","S2C1N1",1,1,0,"Empty",0,NA,"subsample #2"
"Feeding Study",2022,2022-02-15,"Rio Vista","Dry","1","S2C1N10",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Dry","1","S2C1N2",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Dry","1","S2C1N3",1,1,0,"Empty",0,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Dry","1","S2C1N6",2,5,0,"Daphnia",1,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Dry","1","S2C1N6",2,5,0,"Acanthocyclops copepodid",1,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N10",2,5,4e-04,"Bosmina",1,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N10",2,5,4e-04,"Daphnia",5,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N10",2,5,4e-04,"Unidentified eggs",1,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N10",2,5,4e-04,"Animal parts",NA,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N10",2,5,4e-04,"Diacyclops thomasi copepodid",1,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N3",4,5,0.0013,"Daphnia",11,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N3",4,5,0.0013,"Diacyclops thomasi adult",5,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N3",4,5,0.0013,"Diacyclops thomasi copepodid",2,NA,NA
"Feeding Study",2022,2022-02-15,"Rio Vista","Live","2","S2C2N3",4,5,0.0013,"Acanthocyclops adult",6,NA,NA
